id,target
BACE_1348,0
BACE_167,0
BACE_1454,0
BACE_294,1
BACE_1286,0
BACE_1177,0
BACE_1434,0
BACE_1120,0
BACE_1453,0
BACE_118,0
BACE_1413,0
BACE_49,1
BACE_1291,0
BACE_191,0
BACE_1419,0
BACE_1426,0
BACE_1397,0
BACE_1015,0
BACE_1049,0
BACE_1074,0
BACE_143,0
BACE_171,0
BACE_1318,0
BACE_1284,0
BACE_1435,0
BACE_1305,0
BACE_1346,0
BACE_126,0
BACE_888,0
BACE_1163,0
BACE_992,0
BACE_1245,0
BACE_1520,0
BACE_864,0
BACE_859,0
BACE_1495,0
BACE_179,0
BACE_1003,0
BACE_1002,0
BACE_1462,0
BACE_1512,0
BACE_1407,0
BACE_130,0
BACE_1296,0
BACE_571,1
BACE_1506,0
BACE_1136,0
BACE_1326,0
BACE_1516,0
BACE_150,0
BACE_1233,0
BACE_1052,0
BACE_973,0
BACE_966,0
BACE_1195,0
BACE_463,1
BACE_761,1
BACE_847,0
BACE_526,1
BACE_1013,0
BACE_1128,0
BACE_1388,0
BACE_205,0
BACE_977,0
BACE_627,1
BACE_897,0
BACE_1401,0
BACE_935,0
BACE_189,0
BACE_640,1
BACE_1508,0
BACE_1095,0
BACE_159,0
BACE_166,0
BACE_111,0
BACE_103,0
BACE_184,0
BACE_1239,0
BACE_1048,0
BACE_894,0
BACE_1150,0
BACE_1320,0
BACE_1431,0
BACE_1420,0
BACE_1110,0
BACE_1329,0
BACE_151,0
BACE_1427,0
BACE_194,0
BACE_1102,0
BACE_1451,0
BACE_1118,0
BACE_1355,0
BACE_114,0
BACE_912,0
BACE_1461,0
BACE_1545,0
BACE_1369,0
BACE_868,0
BACE_1047,0
BACE_1410,0
BACE_558,1
BACE_106,0
BACE_1178,0
BACE_1357,0
BACE_129,0
BACE_1515,0
BACE_50,1
BACE_304,1
BACE_145,0
BACE_1036,0
BACE_874,0
BACE_1231,0
BACE_1197,0
BACE_970,0
BACE_149,0
BACE_137,0
BACE_538,1
BACE_1327,0
BACE_1290,0
BACE_928,0
BACE_174,0
BACE_1541,0
BACE_1242,0
BACE_1364,0
BACE_139,0
BACE_873,0
BACE_916,0
BACE_193,0
BACE_1374,0
BACE_1472,0
BACE_1405,0
BACE_919,0
BACE_1139,0
BACE_1491,0
BACE_1299,0
BACE_1078,0
BACE_46,1
BACE_963,0
BACE_1404,0
BACE_1017,0
BACE_1116,0
BACE_1301,0
BACE_1310,0
BACE_1386,0
BACE_1141,0
BACE_1090,0
BACE_1172,0
BACE_1185,0
BACE_385,1
BACE_105,0
BACE_1313,0
BACE_146,0
BACE_1184,0
BACE_860,0
BACE_1367,0
BACE_1127,0
BACE_110,0
BACE_1161,0
BACE_948,0
BACE_1091,0
BACE_1026,0
BACE_1058,0
BACE_1169,0
BACE_1073,0
BACE_546,1
BACE_1422,0
BACE_1494,0
BACE_1249,0
BACE_168,0
BACE_1303,0
BACE_1205,0
BACE_1423,0
BACE_187,0
BACE_1082,0
BACE_845,0
BACE_462,1
BACE_177,0
BACE_830,0
BACE_1540,0
BACE_1183,0
BACE_1483,0
BACE_1182,0
BACE_889,0
BACE_1304,0
BACE_1019,0
BACE_1445,0
BACE_186,0
BACE_1213,0
BACE_1444,0
BACE_1266,0
BACE_153,0
BACE_1005,0
BACE_1378,0
BACE_925,0
BACE_700,1
BACE_1287,0
BACE_661,1
BACE_1408,0
BACE_932,0
BACE_188,0
BACE_178,0
BACE_953,0
BACE_1365,0
BACE_1510,0
BACE_1010,0
BACE_1203,0
BACE_176,0
BACE_1061,0
BACE_913,0
BACE_917,0
BACE_1199,0
BACE_1248,0
BACE_1394,0
BACE_978,0
BACE_1285,0
BACE_1432,0
BACE_1370,0
BACE_1238,0
BACE_1440,0
BACE_1211,0
BACE_1380,0
BACE_1297,0
BACE_1059,0
BACE_923,0
BACE_1446,0
BACE_1007,0
BACE_1126,0
BACE_122,0
BACE_694,1
BACE_884,0
BACE_160,0
BACE_1424,0
BACE_1338,0
BACE_1535,0
BACE_1392,0
